timestep	potential_energy
0	0
5000	-9479.940093
10000	-123579.0127
15000	-213180.8882
20000	-288535.9281
25000	-356076.9089
30000	-407927.1626
35000	-444018.1783
40000	-480230.4191
45000	-505670.4207
50000	-528099.4434
55000	-537644.8609
60000	-545339.7586
65000	-551423.0391
70000	-562637.8715
75000	-575445.0427
80000	-585717.6719
85000	-592049.0644
90000	-595633.3117
95000	-599635.232
100000	-601284.073
105000	-607183.7985
110000	-611058.5244
115000	-612020.0361
120000	-615115.9089
125000	-620486.3083
130000	-621568.885
135000	-624359.7239
140000	-629372.0752
145000	-636247.8443
150000	-641508.939
155000	-642938.0731
160000	-644480.5095
165000	-647436.6639
170000	-649180.0701
175000	-649761.2371
180000	-653174.8902
185000	-653931.2411
190000	-653877.8263
195000	-654581.4841
200000	-657549.3849
205000	-661893.822
210000	-665435.5012
215000	-665903.9267
220000	-667979.4599
225000	-668586.1289
230000	-669538.0617
235000	-671426.838
240000	-672087.0668
245000	-673486.2087
250000	-674079.3238
255000	-674189.8415
260000	-676102.2764
265000	-676384.7074
270000	-676407.8339
275000	-678751.3106
280000	-680079.5837
285000	-680532.0484
290000	-680755.7348
295000	-682979.619
300000	-683342.0705
305000	-683425.0022
310000	-683392.9006
315000	-683406.9515
320000	-683411.5661
325000	-683380.1551
330000	-683404.6181
335000	-683429.0643
340000	-683376.0482
345000	-683623.1457
350000	-685538.1367
355000	-685714.7841
360000	-685991.1149
365000	-685983.9215
370000	-685954.8966
375000	-686043.1998
380000	-685976.4272
385000	-686774.9216
390000	-687920.3671
395000	-687847.3283
400000	-688383.4975
405000	-689449.6534
410000	-689482.8551
415000	-689494.7984
420000	-689546.0323
425000	-689462.9811
430000	-689468.8807
435000	-690320.7216
440000	-691523.5435
445000	-691722.8138
450000	-691769.0498
455000	-691780.3005
460000	-691764.1858
465000	-692403.3047
470000	-692513.0394
475000	-692475.2701
480000	-692620.8573
485000	-694722.522
490000	-695108.7376
495000	-695090.1339
