frame,n_clusters
0,1
1,191
2,193
3,178
4,175
5,176
6,187
7,196
8,208
9,218
10,230
11,239
12,244
13,236
14,235
15,225
16,234
17,223
18,224
19,217
20,214
34,172
47,137
60,110
74,95
88,84
101,76
114,66
128,61
142,59
155,52
168,50
182,44
196,38
209,36
222,34
236,34
250,34
263,33
276,32
290,32
304,30
317,28
330,28
344,28
358,27
371,26
384,24
398,24
412,21
425,20
438,19
452,17
466,18
479,18
480,18
481,18
482,18
483,18
484,18
485,18
486,18
487,17
488,17
489,17
490,16
491,17
492,17
493,17
494,17
495,17
496,17
497,17
498,17
499,17
