timestep	potential_energy
0	0
5000	-581.6355006
10000	-15554.20412
15000	-33066.20915
20000	-51787.65898
25000	-67024.39532
30000	-81347.88731
35000	-89927.46859
40000	-95274.37426
45000	-101694.8154
50000	-106320.9218
55000	-110989.8114
60000	-114717.7056
65000	-117888.312
70000	-119146.0667
75000	-121253.5895
80000	-122740.781
85000	-123998.9585
90000	-125205.0358
95000	-127043.2175
100000	-128264.6204
105000	-129144.363
110000	-130739.8948
115000	-131794.5757
120000	-132629.8167
125000	-133777.5245
130000	-134440.6963
135000	-135154.5665
140000	-136105.9414
145000	-136475.8847
150000	-136734.8869
155000	-137401.7321
160000	-138330.0276
165000	-138806.2343
170000	-139476.5876
175000	-139851.9416
180000	-140609.9418
185000	-141127.8874
190000	-141999.5305
195000	-142777.954
200000	-143420.2289
205000	-144239.3367
210000	-144474.1117
215000	-144514.3911
220000	-144624.432
225000	-145128.8773
230000	-145520.5956
235000	-145592.9547
240000	-145566.8059
245000	-145657.7426
250000	-145623.6676
255000	-145525.387
260000	-145687.0387
265000	-145945.5984
270000	-145948.2677
275000	-145917.4792
280000	-146185.3342
285000	-146396.3981
290000	-146456.191
295000	-146487.7177
300000	-146455.2308
305000	-146641.1806
310000	-147552.5281
315000	-147716.7744
320000	-147931.5507
325000	-148000.8944
330000	-148156.3
335000	-148097.708
340000	-148123.776
345000	-148102.2224
350000	-148186.9734
355000	-148162.8223
360000	-148243.9565
365000	-148340.8654
370000	-148501.2464
375000	-148678.094
380000	-148841.2229
385000	-149061.0099
390000	-149490.0515
395000	-149590.0469
400000	-149626.4153
405000	-149597.1527
410000	-149832.8619
415000	-150222.4467
420000	-150460.7871
425000	-150668.0553
430000	-150719.3198
435000	-150807.768
440000	-151020.2419
445000	-151205.4998
450000	-151582.2875
455000	-151751.4077
460000	-151849.4974
465000	-151850.7118
470000	-151862.2805
475000	-152073.3721
480000	-152151.1595
485000	-152064.6236
490000	-152168.2649
495000	-152080.5512
