frame,n_clusters
0,1
1,201
2,187
3,182
4,190
5,189
6,198
7,224
8,231
9,237
10,237
11,243
12,235
13,226
14,218
15,215
16,205
17,202
18,196
19,190
20,182
34,139
47,109
60,97
74,80
88,68
101,64
114,60
128,57
142,53
155,52
168,51
182,45
196,42
209,42
222,40
236,37
250,37
263,36
276,35
290,31
304,31
317,30
330,29
344,28
358,26
371,24
384,24
398,24
412,24
425,23
438,23
452,22
466,21
479,21
480,21
481,21
482,21
483,21
484,21
485,21
486,21
487,21
488,21
489,21
490,21
491,21
492,21
493,21
494,21
495,21
496,21
497,21
498,21
499,21
