frame,n_clusters
0,1
1,201
2,204
3,197
4,174
5,193
6,207
7,227
8,231
9,225
10,220
11,211
12,202
13,192
14,185
15,182
16,172
17,165
18,156
19,153
20,146
34,96
47,81
60,68
74,60
88,51
101,44
114,40
128,35
142,32
155,30
168,28
182,27
196,26
209,24
222,24
236,24
250,21
263,21
276,20
290,19
304,19
317,18
330,18
344,17
358,17
371,15
384,15
398,15
412,14
425,14
438,14
452,14
466,14
479,14
480,14
481,14
482,14
483,14
484,14
485,14
486,14
487,14
488,14
489,14
490,14
491,14
492,14
493,14
494,14
495,13
496,13
497,13
498,13
499,13
