timestep	potential_energy
0	0
5000	-9969.128102
10000	-166978.9076
15000	-303497.5232
20000	-370498.2597
25000	-409160.8414
30000	-435137.585
35000	-459997.4454
40000	-477668.9107
45000	-489375.2332
50000	-494646.4689
55000	-503277.5541
60000	-507202.4561
65000	-512812.3384
70000	-518237.8585
75000	-521503.9354
80000	-529824.2551
85000	-532984.1779
90000	-534615.4194
95000	-537027.7264
100000	-542545.0991
105000	-546525.1072
110000	-550142.5894
115000	-551633.5522
120000	-555852.1345
125000	-557694.1227
130000	-560589.8003
135000	-562332.4062
140000	-563725.5203
145000	-565616.0476
150000	-570682.9576
155000	-571748.6635
160000	-571810.1221
165000	-572000.662
170000	-572059.7687
175000	-572910.8044
180000	-574370.142
185000	-574500.4461
190000	-576127.2838
195000	-576947.9303
200000	-577091.3955
205000	-577189.1968
210000	-577231.1951
215000	-577220.0095
220000	-577143.0677
225000	-577177.3944
230000	-577205.9436
235000	-578255.9355
240000	-578784.9166
245000	-580009.7505
250000	-581168.2727
255000	-581550.1212
260000	-582135.7187
265000	-582436.1976
270000	-582997.0746
275000	-582931.5126
280000	-582964.2539
285000	-583035.8304
290000	-582930.2712
295000	-582930.4726
300000	-582964.009
305000	-582976.209
310000	-584745.0962
315000	-584815.3908
320000	-584895.094
325000	-585010.2669
330000	-585251.0859
335000	-585241.5889
340000	-585236.2164
345000	-585193.2148
350000	-585310.1882
355000	-585220.2893
360000	-585122.2573
365000	-586638.0708
370000	-586730.3848
375000	-586772.7704
380000	-586819.4885
385000	-586834.7219
390000	-586862.374
395000	-586846.8163
400000	-586817.6363
405000	-586757.8404
410000	-586785.7094
415000	-586806.2736
420000	-586853.6992
425000	-586868.7228
430000	-587104.9398
435000	-588148.1145
440000	-588319.3949
445000	-588247.26
450000	-588164.802
455000	-588185.8372
460000	-588318.4972
465000	-588149.498
470000	-588230.073
475000	-588230.1096
480000	-588229.4268
485000	-588338.3613
490000	-588695.98
495000	-588737.7344
