frame,n_clusters
0,1
1,140
2,149
3,144
4,130
5,123
6,139
7,203
8,225
9,240
10,255
11,256
12,252
13,253
14,254
15,248
16,246
17,244
18,240
19,236
20,229
34,177
47,161
60,143
74,132
88,116
101,106
114,98
128,91
142,81
155,75
168,69
182,65
196,63
209,60
222,53
236,50
250,47
263,45
276,45
290,44
304,40
317,36
330,35
344,35
358,33
371,33
384,33
398,31
412,30
425,29
438,28
452,28
466,27
479,26
480,25
481,25
482,25
483,25
484,25
485,25
486,25
487,25
488,25
489,25
490,25
491,25
492,25
493,25
494,25
495,25
496,25
497,25
498,25
499,25
