frame,n_clusters
0,1
1,154
2,181
3,166
4,159
5,162
6,175
7,211
8,221
9,238
10,243
11,236
12,235
13,228
14,217
15,210
16,202
17,195
18,193
19,194
20,188
34,137
47,115
60,100
74,79
88,72
101,67
114,62
128,58
142,56
155,52
168,47
182,45
196,43
209,40
222,40
236,34
250,32
263,31
276,29
290,27
304,26
317,26
330,26
344,25
358,23
371,23
384,21
398,20
412,20
425,20
438,20
452,20
466,20
479,19
480,19
481,19
482,19
483,19
484,19
485,19
486,19
487,19
488,19
489,19
490,19
491,19
492,19
493,19
494,19
495,19
496,19
497,19
498,18
499,18
