timestep	potential_energy
0	0
5000	-4951.427221
10000	-80637.79578
15000	-156092.8796
20000	-206476.7769
25000	-241093.4455
30000	-261358.6861
35000	-276109.4863
40000	-289166.2687
45000	-299102.561
50000	-306311.5463
55000	-313329.5981
60000	-317915.2257
65000	-324770.6745
70000	-329982.4257
75000	-338801.3285
80000	-343897.4263
85000	-345893.3993
90000	-347785.7741
95000	-350439.1611
100000	-352268.6152
105000	-353497.8122
110000	-354920.4145
115000	-357733.78
120000	-359877.5884
125000	-360207.0378
130000	-360860.2085
135000	-361976.4498
140000	-362688.8778
145000	-363614.4804
150000	-363863.6303
155000	-365554.997
160000	-367426.2753
165000	-369675.0239
170000	-371277.7451
175000	-372460.4906
180000	-373542.5033
185000	-374204.8963
190000	-374750.6031
195000	-374798.5199
200000	-375421.9873
205000	-376266.8038
210000	-377785.4384
215000	-377738.2334
220000	-377712.6211
225000	-378484.2481
230000	-378515.0852
235000	-381225.2085
240000	-384558.3115
245000	-385971.6473
250000	-385981.7003
255000	-386091.9026
260000	-386125.0951
265000	-386422.9127
270000	-387697.4911
275000	-388131.0453
280000	-389206.1785
285000	-390147.3636
290000	-390289.9566
295000	-390906.9468
300000	-391492.0919
305000	-392603.8149
310000	-392747.8675
315000	-392792.2386
320000	-392781.2111
325000	-392799.3126
330000	-392873.4881
335000	-392796.2027
340000	-393690.7419
345000	-393622.9227
350000	-394153.2691
355000	-395071.2883
360000	-394979.7132
365000	-395172.7577
370000	-395190.3143
375000	-395389.2563
380000	-396202.0298
385000	-396892.7144
390000	-397031.8248
395000	-397659.785
400000	-397792.1021
405000	-397771.9061
410000	-397741.2644
415000	-397694.3445
420000	-397736.1458
425000	-397744.6835
430000	-397729.9928
435000	-397742.2492
440000	-397847.7845
445000	-397772.2716
450000	-397733.2557
455000	-397831.7321
460000	-397823.2672
465000	-397790.6107
470000	-397782.4916
475000	-398196.0176
480000	-398448.4252
485000	-398503.4268
490000	-398584.1378
495000	-398576.7423
