timestep	potential_energy
0	0
5000	-7112.332237
10000	-121549.8453
15000	-221279.469
20000	-275537.3739
25000	-303223.3861
30000	-325706.3522
35000	-347496.9001
40000	-358859.4578
45000	-365789.3805
50000	-380820.8135
55000	-386144.4525
60000	-391559.6708
65000	-397409.4291
70000	-402010.081
75000	-405844.8596
80000	-409624.552
85000	-414721.6502
90000	-417237.1905
95000	-424605.1698
100000	-425799.0964
105000	-428790.0645
110000	-430829.3052
115000	-431831.444
120000	-435851.4746
125000	-436263.136
130000	-439421.237
135000	-440252.8365
140000	-441817.4108
145000	-445826.7505
150000	-446935.1616
155000	-446843.9286
160000	-447542.9322
165000	-452843.2412
170000	-455118.4132
175000	-456209.2762
180000	-457720.0416
185000	-461012.8433
190000	-464623.5868
195000	-464775.6889
200000	-464831.3248
205000	-466708.8992
210000	-467857.4632
215000	-468757.0825
220000	-472300.1484
225000	-476522.2309
230000	-477822.6173
235000	-477795.2818
240000	-478618.7167
245000	-478718.0247
250000	-478742.087
255000	-479653.663
260000	-479806.0883
265000	-479762.7713
270000	-479791.4055
275000	-479737.4566
280000	-479743.643
285000	-480370.0842
290000	-480974.5305
295000	-481793.6606
300000	-482804.557
305000	-483106.7131
310000	-483870.7657
315000	-483858.262
320000	-483861.5244
325000	-483792.8456
330000	-483896.3396
335000	-483849.4155
340000	-484116.2675
345000	-485040.4278
350000	-485063.2031
355000	-485765.496
360000	-486409.1211
365000	-486403.1623
370000	-486447.3259
375000	-486460.6287
380000	-486415.693
385000	-486414.0482
390000	-487545.3299
395000	-487577.1223
400000	-487511.8877
405000	-487729.4052
410000	-489713.4628
415000	-489730.5455
420000	-489719.0227
425000	-489711.9372
430000	-489728.7208
435000	-490743.8969
440000	-491018.6375
445000	-490999.6865
450000	-491041.9183
455000	-490959.5315
460000	-491029.1346
465000	-491005.1267
470000	-490975.5753
475000	-491027.5088
480000	-490980.8083
485000	-491052.0466
490000	-490969.5084
495000	-491011.2709
